average_annual_pay,gdp_maryland,inflation_rate_cpi,average_weekly_wage,total_wages_thousands,maryland_population,total_workforce,year,new_cars_sold,used_cars_sold,value_new_cars_sold,value_used_cars_sold,total_cars_sold,total_value_cars_sold
39382,217837100000,2.4,757,95589510000,5440389,2427396,2002-01-01,402164,656089,9572554876,4940209772,1058253,14512764648
40686,228959300000,1.4,782,99039956000,5496269,2434480,2003-01-01,428252,675358,10623148339,5166071497,1103610,15789219836
42579,245124500000,1.8,819,104716511000,5546935,2461074,2004-01-01,428508,699677,10972956024,5385548947,1128185,16358504971
44368,262100000000,2.2,853,110807924000,5592379,2497416,2005-01-01,421834,703835,11006733922,5639803515,1125669,16646537437
46162,274145300000,2.5,888,116791342000,5627367,2530129,2006-01-01,399282,696968,10411657206,5865687318,1096250,16277344524
48241,282965600000,2.3,928,122886661000,5653408,2546850,2007-01-01,378184,678549,9997917483,5794213869,1056733,15792131352
49535,295400200000,2.3,953,125706584000,5684965,2537400,2008-01-01,309159,617885,7975401987,4896167840,927044,12871569827
50579,299102700000,1.7,973,124479932000,5730388,2460972,2009-01-01,248928,608889,6686217914,4510040527,857817,11196258441
51739,314728300000,1,995,126926286000,5788784,2454418,2010-01-01,268022,626045,7460915522,5054802303,894067,12515717825
53008,326281200000,1.7,1019,131379799000,5840241,2479122,2011-01-01,287669,625728,8331732402,5345074083,913397,13676806485
54035,332523500000,2.1,1039,135717862000,5888375,2514165,2012-01-01,316762,627678,9284994339,5582127071,944440,14867121410
54052,340577600000,1.8,1039,136840961000,5925197,2532403,2013-01-01,335209,644755,10113490016,5976130047,979964,16089620063
55389,352761300000,1.7,1065,141387861000,5960064,2553333,2014-01-01,341219,656466,10577233071,6345144513,997685,16922377584
57176,369728100000,1.8,1100,148154201000,5988528,2590860,2015-01-01,357208,697156,11333175245,7089606958,1054364,18422782203
58106,387733400000,2.2,1117,152655136000,6007014,2626510,2016-01-01,343238,753271,11359554563,8179372358,1096509,19538926921
59603,400157000000,1.8,1146,158159862000,6028186,2652465,2017-01-01,329929,748511,11088229177,8073608688,1078440,19161837865
61151,410812200000,2.1,1176,163828734000,6042153,2676716,2018-01-01,334229,748596,11457150438,8404165810,1082825,19861316248
62976,420371300000,2.2,1211,169915698000,6054954,2700377,2019-01-01,334041,757326,11888570426,8969294701,1091367,20857865127
68879,410931000000,1.7,1325,173067173000,6173689,2516736,2020-01-01,285480,617580,10789618470,7521311784,903060,18310930254
71688,443929900000,3.6,1379,185039554000,6175045,2559896,2021-01-01,305622,648386,12318885531,9532585736,954008,21851471267
