,GDP for Maryland State,Date
20,217837100000.0,2002-01-01
19,228959300000.0,2003-01-01
18,245124500000.0,2004-01-01
17,262100000000.0,2005-01-01
16,274145300000.0,2006-01-01
15,282965600000.0,2007-01-01
14,295400200000.0,2008-01-01
13,299102700000.0,2009-01-01
12,314728300000.0,2010-01-01
11,326281200000.0,2011-01-01
10,332523500000.0,2012-01-01
9,340577600000.0,2013-01-01
8,352761300000.0,2014-01-01
7,369728100000.0,2015-01-01
6,387733400000.0,2016-01-01
5,400157000000.0,2017-01-01
4,410812200000.0,2018-01-01
3,420371300000.0,2019-01-01
2,410931000000.0,2020-01-01
1,443929900000.0,2021-01-01
0,470187100000.0,2022-01-01
