,Total Wages in Maryland,Date
0,95589510000,2002-01-01
1,99039956000,2003-01-01
2,104716511000,2004-01-01
3,110807924000,2005-01-01
4,116791342000,2006-01-01
5,122886661000,2007-01-01
6,125706584000,2008-01-01
7,124479932000,2009-01-01
8,126926286000,2010-01-01
9,131379799000,2011-01-01
10,135717862000,2012-01-01
11,136840961000,2013-01-01
12,141387861000,2014-01-01
13,148154201000,2015-01-01
14,152655136000,2016-01-01
15,158159862000,2017-01-01
16,163828734000,2018-01-01
17,169915698000,2019-01-01
18,173067173000,2020-01-01
19,185039554000,2021-01-01
20,194554851000,2022-01-01
