Date,New Cars Sold,Used Cars Sold,Value of New Cars Sold,Value of Used Cars Sold,Cars Sold
2002-01-01,402164,656089,9572554876,4940209772,1058253
2003-01-01,428252,675358,10623148339,5166071497,1103610
2004-01-01,428508,699677,10972956024,5385548947,1128185
2005-01-01,421834,703835,11006733922,5639803515,1125669
2006-01-01,399282,696968,10411657206,5865687318,1096250
2007-01-01,378184,678549,9997917483,5794213869,1056733
2008-01-01,309159,617885,7975401987,4896167840,927044
2009-01-01,248928,608889,6686217914,4510040527,857817
2010-01-01,268022,626045,7460915522,5054802303,894067
2011-01-01,287669,625728,8331732402,5345074083,913397
2012-01-01,316762,627678,9284994339,5582127071,944440
2013-01-01,335209,644755,10113490016,5976130047,979964
2014-01-01,341219,656466,10577233071,6345144513,997685
2015-01-01,357208,697156,11333175245,7089606958,1054364
2016-01-01,343238,753271,11359554563,8179372358,1096509
2017-01-01,329929,748511,11088229177,8073608688,1078440
2018-01-01,334229,748596,11457150438,8404165810,1082825
2019-01-01,334041,757326,11888570426,8969294701,1091367
2020-01-01,285480,617580,10789618470,7521311784,903060
2021-01-01,305622,648386,12318885531,9532585736,954008
2022-01-01,270882,574294,12174274135,9790439348,845176
2023-01-01,251147,486765,11460063364,8074941768,737912
