Date,New Cars Sold,Used Cars Sold,Value of New Cars Sold,Value of Used Cars Sold,Cars Sold,Yearly Change in Cars Sold,Yearly Change in Cars Sold (%),Total Value of Cars Sold,Yearly Change in Value of Cars Sold,Yearly Change in Value of Cars Sold (%),Yearly Change in Number of New Cars Sold,Yearly Change in Number of New Cars Sold (%),Yearly Change in Value of New Cars Sold,Yearly Change in Value of New Cars Sold (%)
2003-01-01,402164,656089,9572554876,4940209772,1058253,,,14512764648,,,,,,
2004-01-01,428252,675358,10623148339,5166071497,1103610,45357.0,4.286026120407871,15789219836,1276455188.0,8.795396459322502,26088.0,6.4869058394088075,1050593463.0,10.975058138700412
2005-01-01,428508,699677,10972956024,5385548947,1128185,24575.0,2.226783012114786,16358504971,569285135.0,3.605530487972608,256.0,0.05977788778570581,349807685.0,3.2928814870802015
2006-01-01,421834,703835,11006733922,5639803515,1125669,-2516.0,-0.22301306966499013,16646537437,288032466.0,1.760750548479928,-6674.0,-1.5574971762487566,33777898.0,0.30782860995817174
2007-01-01,399282,696968,10411657206,5865687318,1096250,-29419.0,-2.613468079870729,16277344524,-369192913.0,-2.21783607790651,-22552.0,-5.3461788286387595,-595076716.0,-5.406478617699428
2008-01-01,378184,678549,9997917483,5794213869,1056733,-39517.0,-3.6047434435575787,15792131352,-485213172.0,-2.9809111141229527,-21098.0,-5.2839847526309764,-413739723.0,-3.9738123798541025
2009-01-01,309159,617885,7975401987,4896167840,927044,-129689.0,-12.272636512723645,12871569827,-2920561525.0,-18.493776805055028,-69025.0,-18.251697586360084,-2022515496.0,-20.22936776022599
2010-01-01,248928,608889,6686217914,4510040527,857817,-69227.0,-7.467498845793729,11196258441,-1675311386.0,-13.015594900365524,-60231.0,-19.482208184138262,-1289184073.0,-16.164502743578137
2011-01-01,268022,626045,7460915522,5054802303,894067,36250.0,4.225843041114841,12515717825,1319459384.0,11.784824287087027,19094.0,7.670491065689666,774697608.0,11.586484586119926
2012-01-01,287669,625728,8331732402,5345074083,913397,19330.0,2.162030362377765,13676806485,1161088660.0,9.277044083566178,19647.0,7.330368402593823,870816880.0,11.671716124277554
2013-01-01,316762,627678,9284994339,5582127071,944440,31043.0,3.3986317012208334,14867121410,1190314925.0,8.703164194839452,29093.0,10.11335945131384,953261937.0,11.441341260206261
2014-01-01,335209,644755,10113490016,5976130047,979964,35524.0,3.7613824065054313,16089620063,1222498653.0,8.222833588872946,18447.0,5.823615206369448,828495677.0,8.922952957763775
2015-01-01,341219,656466,10577233071,6345144513,997685,17721.0,1.808331734635149,16922377584,832757521.0,5.175743850627179,6010.0,1.792911288181398,463743055.0,4.585390940875378
2016-01-01,357208,697156,11333175245,7089606958,1054364,56679.0,5.68105163453394,18422782203,1500404619.0,8.866393694102559,15989.0,4.685846919427106,755942174.0,7.146880180532245
2017-01-01,343238,753271,11359554563,8179372358,1096509,42145.0,3.9971964141416017,19538926921,1116144718.0,6.058502487307504,-13970.0,-3.9108866542742593,26379318.0,0.23276193502468345
2018-01-01,329929,748511,11088229177,8073608688,1078440,-18069.0,-1.6478660913863963,19161837865,-377089056.0,-1.9299373887043614,-13309.0,-3.8774844277148834,-271325386.0,-2.388521349981032
2019-01-01,334229,748596,11457150438,8404165810,1082825,4385.0,0.4066058380623794,19861316248,699478383.0,3.65037209858472,4300.0,1.3033107123047616,368921261.0,3.3271431813949315
2020-01-01,334041,757326,11888570426,8969294701,1091367,8542.0,0.7888624662341526,20857865127,996548879.0,5.017536937413958,-188.0,-0.056248859315022326,431419988.0,3.765508625679792
2021-01-01,285480,617580,10789618470,7521311784,903060,-188307.0,-17.254232535893056,18310930254,-2546934873.0,-12.210908726718417,-48561.0,-14.537437021203981,-1098951956.0,-9.243768734351942
2022-01-01,305622,648386,12318885531,9532585736,954008,50948.0,5.641707084800562,21851471267,3540541013.0,19.335669809711465,20142.0,7.055485498108438,1529267061.0,14.173504515030366
2023-01-01,270882,574294,12174274135,9790439348,845176,-108832.0,-11.407870793536324,21964713483,113242216.0,0.5182361160779969,-34740.0,-11.366982743388887,-144611396.0,-1.1738999898658897
